subject,group,idnews,theme,veracity,eval,eval_RT,judgment,success,rec,rec_RT,WTP,WTP_RT,ambiguity,split,desirability,SOS_Méditerranée,FEMEN,Génération_Identitaire,La_Manif_Pour_Tous,Greenpeace,WWF,NIPCC,Climato_réalistes,Mouvement_Européen_France,Fondation_Robert_Schuman,Frexit,Parti_Libertarien,age,sex,education
1,2,165,2,0,32,16054,1,0,1,990,3,2019,5,5.81818181818182,6.72727272727273,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,18,3,0,34,8027,1,0,1,476,4,2143,6.54545454545455,7.27272727272727,6.36363636363636,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,182,1,0,45,8554,1,0,1,884,3,3912,3.63636363636364,4.36363636363636,6.36363636363636,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,157,1,0,17,18437,1,0,1,477,4,2241,5.63636363636364,6.45454545454545,6,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,113,1,1,28,15697,1,1,1,940,4,2263,6.54545454545455,6.81818181818182,5.81818181818182,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,109,1,0,20,14967,1,0,1,482,3,2178,4.2,4.6,6.8,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,70,1,0,26,9739,1,0,1,3950,3,2172,3.27272727272727,4,5.45454545454545,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,17,1,0,35,7429,1,0,1,459,4,2384,4.63636363636364,6.63636363636364,7.63636363636364,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,192,1,1,34,13879,1,1,1,1107,3,1942,3.27272727272727,5.27272727272727,5.72727272727273,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,50,1,0,56,6113,1,0,2,2590,4,2185,3.8,4.3,7.1,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,85,2,1,29,12599,1,1,1,493,3,2289,5.36363636363636,6,6.54545454545455,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,122,2,1,44,11135,1,1,1,474,3,2348,6.1,5,4.4,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,28,2,0,29,29562,1,0,1,659,4,7950,4.63636363636364,6.63636363636364,6.63636363636364,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
1,2,164,2,1,29,12519,1,1,1,639,3,2213,3.81818181818182,7.36363636363636,6.63636363636364,93,79,38,38,88,95,55,48,62,60,33,45,29,1,4
2,2,130,1,1,-22,22059,0,0,2,1633,0,1381,5.90909090909091,6.45454545454545,5.63636363636364,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,161,1,1,90,14406,1,1,2,1083,0,1526,4.90909090909091,6.09090909090909,7.45454545454545,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,50,1,0,90,6760,1,0,2,1681,0,1501,4.72727272727273,7,5.90909090909091,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,39,1,1,70,15221,1,1,2,1905,0,1365,4.9,6,6.4,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,17,1,1,-80,28669,0,0,2,953,0,5125,6.54545454545455,8.36363636363636,7,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,31,1,0,61,26057,1,0,2,2098,0,1293,4.72727272727273,7.45454545454545,6.63636363636364,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,34,1,1,100,9856,1,1,2,7907,0,1365,3.7,3.7,6.7,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,128,1,1,-30,18965,0,0,2,970,0,1173,6.09090909090909,7.18181818181818,5.54545454545455,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,113,3,0,90,57172,1,0,2,961,0,1214,6.8,8.8,8,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,85,3,0,90,17629,1,0,2,1385,0,1365,4.45454545454545,6.36363636363636,6.63636363636364,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,124,3,1,60,37185,1,1,2,2153,0,1406,6.36363636363636,7.45454545454545,7.90909090909091,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,205,3,0,-15,19611,0,1,2,657,0,1255,8,7.72727272727273,8,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,206,3,1,-100,17025,0,0,2,962,0,1473,6.18181818181818,5.27272727272727,6.90909090909091,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,97,3,0,100,18390,1,0,2,2099,0,5733,6.6,9.2,7.7,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,164,3,1,71,22776,1,1,2,737,0,1277,5.63636363636364,6.72727272727273,6.54545454545455,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,119,3,1,-100,8535,0,0,2,898,0,1486,6.4,5.6,5.9,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,191,3,1,-50,20113,0,0,2,1889,0,1556,3.54545454545455,3.45454545454545,7.27272727272727,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,178,3,0,40,18648,1,0,2,568,0,1270,5.6,8.9,8.2,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,165,3,0,-42,13325,0,1,2,777,0,1405,6.27272727272727,6.18181818181818,6.18181818181818,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,18,3,0,-55,8883,0,1,2,482,0,1679,5.90909090909091,5.72727272727273,2.45454545454545,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,64,2,0,50,21785,1,0,2,528,0,1389,5.6,6.6,7.8,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,194,3,1,65,13571,1,1,2,577,0,1125,5.2,6.4,5.9,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,122,3,1,100,12064,1,1,2,592,0,2653,7.5,8,7.4,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,139,3,1,60,15858,1,1,2,538,0,1255,3.45454545454545,5.36363636363636,7.09090909090909,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,28,2,1,100,50375,1,1,2,538,0,1413,5,2.9,3.9,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,104,2,1,100,7740,1,1,2,602,0,1430,4.09090909090909,7.63636363636364,6.45454545454545,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,87,2,1,100,19758,1,1,2,626,0,1533,4.81818181818182,5.63636363636364,5.63636363636364,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,103,2,1,40,14227,1,1,2,522,0,2446,5.09090909090909,7.81818181818182,7,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,70,2,0,-57,16535,0,1,2,754,0,1150,6,7.2,8.1,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,182,2,0,100,12321,1,0,2,778,0,1526,6,7.6,8,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,93,2,0,55,17934,1,0,1,2235,25,2165,4.7,7.9,5,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,74,2,0,-79,16603,0,1,2,536,0,1589,6.09090909090909,7.81818181818182,6.63636363636364,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,76,2,0,100,18733,1,0,2,3185,0,1437,4,6.54545454545455,5.90909090909091,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,23,2,1,100,4695,1,1,2,586,0,1166,5.72727272727273,6.18181818181818,6,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,176,2,0,73,5082,1,0,2,495,0,1317,5,5.81818181818182,6.72727272727273,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,187,3,0,-100,9926,0,1,2,603,0,1094,6.54545454545455,7.27272727272727,6.36363636363636,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,209,1,0,63,12480,1,0,2,634,0,1341,3.63636363636364,4.36363636363636,6.36363636363636,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,157,1,0,-100,23908,0,1,2,490,0,1413,5.63636363636364,6.45454545454545,6,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,192,1,1,63,15456,1,1,2,459,0,1165,6.54545454545455,6.81818181818182,5.81818181818182,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,127,1,0,100,12889,1,0,2,458,0,1350,4.2,4.6,6.8,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,90,1,0,100,14139,1,0,2,737,0,1853,3.27272727272727,4,5.45454545454545,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,151,1,0,100,9163,1,0,2,490,0,1534,4.63636363636364,6.63636363636364,7.63636363636364,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,3,1,1,100,15134,1,1,2,602,0,1246,3.27272727272727,5.27272727272727,5.72727272727273,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,116,1,0,100,8882,1,0,2,577,0,1836,3.8,4.3,7.1,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
